Code,Site,ICD,ICD Code,Sex,Year at death,All ages,0-4 yrs.,5-9 yrs.,10-14 yrs.,15-19 yrs.,20-24 yrs.,25-29 yrs.,30-34 yrs.,35-39 yrs.,40-44 yrs.,45-49 yrs.,50-54 yrs.,55-59 yrs.,60-64 yrs.,65-69 yrs.,70-74 yrs.,75-79 yrs.,80-84 yrs.,85+ yrs.
1,All cancers,ICD-9,140-208 ,Both,1990,177.159815090000000 ,3.462245297000000 ,3.025553420800000 ,3.295703849900000 ,4.203572494900000 ,5.331687733700000 ,7.672527499800000 ,14.378305535000000 ,29.186564522000000 ,49.446002281000000 ,89.324906164000000 ,149.852087520000000 ,272.201424650000000 ,415.727017510000000 ,563.164927970000000 ,802.107175100000000 ,1098.102388000000000 ,1437.446771300000000 ,1642.569762200000000 
1,All cancers,ICD-9,140-208 ,Both,1991,181.741157740000000 ,2.873015873000000 ,2.925422332100000 ,3.018084066500000 ,4.078104342500000 ,4.604270002200000 ,7.285696089700000 ,13.814756672000000 ,27.661072644000000 ,52.383081463000000 ,90.266729059000000 ,148.571081110000000 ,265.489546150000000 ,414.107583010000000 ,568.251618870000000 ,800.924736710000000 ,1097.703008700000000 ,1433.282130100000000 ,1636.247877800000000 
1,All cancers,ICD-9,140-208 ,Both,1992,187.823544660000000 ,3.390105433900000 ,2.796121961500000 ,3.311091527100000 ,4.277795209700000 ,5.056476301100000 ,7.680927136000000 ,12.766788131000000 ,28.381865094000000 ,51.108637165000000 ,86.811089909000000 ,145.426540280000000 ,260.828387420000000 ,420.603655940000000 ,586.291030370000000 ,788.844819040000000 ,1112.448000000000000 ,1441.861598400000000 ,1651.140834000000000 
1,All cancers,ICD-9,140-208 ,Both,1993,190.411833130000000 ,2.743801652900000 ,3.110082453300000 ,3.087057607900000 ,4.019117966500000 ,4.352299619300000 ,6.765200672900000 ,12.703751617000000 ,25.275281610000000 ,51.318638063000000 ,86.235032320000000 ,141.870952820000000 ,254.149298980000000 ,419.714008050000000 ,585.877031330000000 ,777.862232780000000 ,1095.777777800000000 ,1416.456876500000000 ,1625.110132200000000 
1,All cancers,ICD-9,140-208 ,Both,1994,196.398778100000000 ,3.197335553700000 ,2.917851264400000 ,2.804476629400000 ,3.744893327300000 ,4.443319838100000 ,6.576787807700000 ,12.881225068000000 ,24.871991807000000 ,50.244213209000000 ,84.467977811000000 ,143.739602970000000 ,246.827833210000000 ,416.602687140000000 ,591.892327530000000 ,778.600178890000000 ,1098.787492000000000 ,1420.554066100000000 ,1716.859279400000000 
1,All cancers,ICD-10,C00-C97,Both,1995,211.604367010000000 ,2.874131688700000 ,3.018584314800000 ,2.895738725200000 ,4.003801727500000 ,4.178061185000000 ,7.243682469900000 ,13.126379933000000 ,25.632284641000000 ,48.705065428000000 ,88.706018733000000 ,154.293247390000000 ,247.709884210000000 ,419.168367590000000 ,622.469110740000000 ,826.452645670000000 ,1130.942498900000000 ,1521.929809300000000 ,1876.563512100000000 
1,All cancers,ICD-10,C00-C97,Both,1996,217.452629720000000 ,2.616033755300000 ,2.733017377600000 ,2.429649965700000 ,4.082630485300000 ,4.478382003900000 ,6.863711001600000 ,13.231357553000000 ,25.712418301000000 ,48.941923348000000 ,89.707602339000000 ,156.212947590000000 ,240.351746350000000 ,419.773266540000000 ,627.143294550000000 ,824.331389500000000 ,1126.231454000000000 ,1505.562579000000000 ,1884.656084700000000 
1,All cancers,ICD-10,C00-C97,Both,1997,220.395637110000000 ,2.998475351500000 ,2.408275416200000 ,2.400000000000000 ,3.941569071900000 ,4.207632942200000 ,6.754725085900000 ,12.195724700000000 ,23.102954575000000 ,47.198620860000000 ,90.495752031000000 ,151.832043700000000 ,239.007605940000000 ,400.952132520000000 ,619.345193600000000 ,822.128958410000000 ,1094.867408000000000 ,1507.320099300000000 ,1856.246590300000000 
1,All cancers,ICD-10,C00-C97,Both,1998,226.679813500000000 ,2.486047691500000 ,2.294107938600000 ,2.408769652400000 ,3.951956606000000 ,4.486758590500000 ,5.889133396200000 ,11.933461909000000 ,23.780566697000000 ,47.989344158000000 ,89.558590657000000 ,149.247958750000000 ,235.096606970000000 ,391.730694100000000 ,612.057360260000000 ,840.731307990000000 ,1101.387377600000000 ,1504.061738400000000 ,1880.548501800000000 
1,All cancers,ICD-10,C00-C97,Both,1999,231.644237520000000 ,2.291631302000000 ,2.021383227500000 ,2.621778638500000 ,3.609537610300000 ,4.276916058400000 ,6.252575195700000 ,11.881771079000000 ,22.270854789000000 ,44.187836798000000 ,86.950021358000000 ,146.395752500000000 ,235.924084950000000 ,382.809003550000000 ,602.800230950000000 ,847.359216510000000 ,1087.573510600000000 ,1509.959349600000000 ,1921.248213400000000 
